ID,TR,EN,DE,RU,GLUTEN,MILK,EGG,FISH
1788,TON BALIKLI PATATES SALATASI,TUNA POTATO SALAD,THUNFISCH-KARTOFFEL-SALAT,КАРТОФЕЛЬНЫЙ САЛАТ С ТУНЦОМ,0,0,0,0
1789,BİBERLİ HİNDİ FİLETO,PEPPERED TURKEY FILLET,GESPICKT PUTENFILET,ФИЛЕ ИНДЕЙКИ ПЕРЧЕНОЙ,0,0,0,0
1790,ISPANAK TERİN,SPINACH TERRINE,SPINATTERRINE,ТЕРРИН ИЗ ШПИНАТА,0,0,0,0
1791,AKYA BELVÜ,LEARFISH BELLEVUE,LEERFISCH BELLEVUE,БЛЮДО «БЕЛВЬЮ» ИЗ РЫБЫ ЛИХИЯ ,0,0,0,0
1792,MİDYE SALATA,MUSSEL SALAD,MUSCHEL-SALAT,САЛАТ ИЗ МИДИЙ,0,0,0,0
1793,SOĞAN SOSLU ET SALATASI,ONION SAUCED MEAT SALAD,ZWIEBEL GEWÜRZT SALAT,МЯСНОЙ САЛАТ В СОУСЕ С ЛУКОМ,0,0,0,0
1794,MEYVELİ KARİDES SALATA,SHRIMP SALAD With FRUITS,GARNELENSALAT MIT FRÜCHTEN,САЛАТ ИЗ КРЕВЕТОК С ФРУКТАМИ,0,0,0,0
1795,HAWAİ SALATA,HAWAIIAN SALAD,HAWAIIAN SALAT,ГАВАЙСКИЙ САЛАТ,0,0,0,0
1796,VİNİGRET SOSLU DİL SALATA,BEEF TONGUE SALAD WITH VINAGRETTE,SALAT AUS RINDER-ZUNGE MIT VİNAGRETTE,САЛАТ ИЗ ГОВЯЖЕГО ЯЗЫКА С ВИНИГРЕТОМ,0,0,0,0
1797,ZEYTİNYAĞLI FASULYE PİLAKİ,BEANS With OLIVE OIL ,BOHNEN MIT OLIVENÖL,ФАСОЛЬ С ОЛИВКОВОМ МАСЛЕ,0,0,0,0
1798,SOMON TARTAR,SALMON TARTAR,LACHSTARTAR,ТАРТАР ИЗ ЛОСОСЯ,0,0,0,0
1799,ANAÇ BALIĞI BELVÜ,BROODSTOCK FISH BELLEVUE,BROODSTOCK FISCH BELLEVUE,"РЫБО ""БЕЛЬВЮ""",0,0,0,0
1800,SOMON FÜME,SMOKED SALMON ,GERÄUCHERTER LACHS,КОПЧЕНЫЙ ЛОСОСЬ,0,0,0,0
1801,YILAN FÜME,SMOKED SNAKE,GERAUCHT SCHLANGE,ЗМЕЯ КОПЧЕНАЯ,0,0,0,0
1802,SOMON BALIK PARFE,SALMON FISH PARFAIT,LACHS FISCH-PARFAIT,ЛОСОСЬ,0,0,0,0
1803,PATATES TARATOR,TARATOR OF POTATO,TARATOR KARTOFFEL,ТАРАТОР КАРТОФЕЛЬНЫЙ,0,0,0,0
1804,MAYDONOZ TARATOR,TARATOR PARSLEY,TARATOR PETERSILIE,ТАРАТОР ИЗ ПЕТРУШКИ,0,0,0,0
1805,İMAMBAYILDI,STUFFED EGGPLANTS  With ONIONS,AUBERGINEN GEFÜLLT MIT ZWIEBELN ,ФАРШИРОВАННЫЕ БАКЛАЖАНЫ ,0,0,0,0
1806,DOMATESLİ AVOKADO PARFE,TOMATO AVOCADO PARFAIT,TOMATEN-AVOCADO-PARFAIT,ПАРФЕ ИЗ ПОМИДОРОВ И АВОКАДО ,0,0,0,0
1807,AVOKADO DOLMA,STUFFED AVOCADO,GEFÜLLTE AVOCADO,ФАРШИРОВАННЫЕ АВОКАДО,0,0,0,0
1808,KÖRİLİ TAVUK SALATA,CHICKEN SALAD WITH CURRY,HÄHNCHEN-SALAT MIT CURRY,САЛАТ ИЗ КУРИЦЫ С КАРРИ,0,0,0,0
1809,ACILI MANTAR SOTE,SPICY MUSHROOM SAUTE,PIKANTE PILZ-BRATEN,ГРИБНОЕ РАГУ СО СПЕЦИЯМИ,0,0,0,0
1810,TAZE KİŞNİŞLİ HAVUÇ TARATOR,CARROT TARATOR WITH FRESH CORIANDER,KAROTTE TARATOR MIT FRISCHEM KORIANDER,МОРКОВНЫЙ ТАРАТОР С СВЕЖИМ КОРИАНДРОМ,0,0,0,0
1811,ISPANAK BORANİ,SPINACH With YOGURT,SPINAT BORANI,ТУШЕНЫЙ ШПИНАТ С ЙОГУРТОМ,0,0,0,0
1812,YEŞİL BİBERLİ KARİDES SALATASI,SHRIMP SALAD WITH GREEN PEPPER,SHRIMPS-SALAT MIT GRÜNEM PFEFFER,САЛАТ ИЗ КРЕВЕТОК С ЗЕЛЕНЫМ ПЕРЦЕМ,0,0,0,0
1813,SİYAH BARBUNYA PÜRESİ,BLACK KIDNEY BEAN PUREE,SCHWARZE KIDNEY-BOHNEN-PÜREE,ПЮРЕ ИЗ ЧЕРНОЙ ФАСОЛИ,0,0,0,0
1814,AVAKADO SALСALI KARİDES,AVOCADO-SHRIMPS SALSA SAUCE,AVOCADO-GARNELEN-SALSA-SAUCE,КРЕВЕТКИ С СОУСОМ АВОКАДО,0,0,0,0
1815,ZEYTİNYAĞLI PATLICAN DOLMA,STUFFED AUBERGINES WITH OLIVE OIL,GEFÜLLTE AUBERGINEN MIT OLIVENÖL,ФАРШИРОВАННЫЕ БАКЛАЖАНЫ В ОЛИВКОВОМ МАСЛЕ,0,0,0,0
1816,ZEYTİNYAĞLI DENİZ MAHSULLERİ,SEAFOOD IN OLIVE OIL,MEERESFRÜCHTE IN OLIVENÖL,МОРЕПРОДУКТЫ В ОЛИВКОВОМ МАСЛЕ,0,0,0,0
1817,DOMATESLİ AVAKADO TERİN,TOMATO AVOCADO TERRINE,TOMATEN-AVOCADO-TERRINE,ТЕРРИН ИЗ АВОКАДО ПОМИДОР,0,0,0,0
1818,PİLİÇ BOLANTİN,CHICKEN BOLANTIN,HÜHNCHEN BOLANTIN,«БОЛАНТИН» ИЗ ЦЫПЛЕНКА,0,0,0,0
1819,DOMATESLİ MOZARELLA,TOMATO MOZZARELLA,TOMATEN-MOZZARELLA,ТОМАТНЫЙ МОЦАРЕЛЛА,0,0,0,0
1820,SEBZE TERİN,VEGETABLE TERRINE,GEMÜSEAUFLAUF,ТЕРРИН ИЗ ОВОЩЕЙ,0,0,0,0
1821,PİLİÇ TERİN,CHICKEN TERRINE,HUHN-TERRINE,КУРИНЫЙ ТЕРРИН,0,0,0,0
1822,ZEYTİNYAĞLI KABAK BAYILDI,STUFFED ZUCCHINI With ONIONS AND TOMATO SOUCE,ZUCCHINI GEFÜLLT MIT ZWIEBELN UND TOMATEN,ФАРШИРОВАННЫЕ КАБАЧКИ,0,0,0,0
1823,ZEYTİNYAĞLI İMAMBAYILDI,STUFFED EGGPLANTS  With ONIONS AND OLIVE OIL,AUBERGINEN GEFÜLLT MIT ZWIEBELN UND OLIVE-ÖL,ФАРШИРОВАННЫЕ БАКЛАЖАНЫ В ОЛИВКОВОМ МАСЛЕ,0,0,0,0
1824,ZEYTİNYAĞLI PAZI SARMA,STUFFED CHARD WITH OLIVE OIL,GEFÜLLTE MANGOLD MIT OLIVENÖL,РОЛЛЫ ИЗ МАНГОЛЬДА С ОЛИВКОВЫМ МАСЛОМ,0,0,0,0
1825,SOĞANLI ET SALATASI,MEAT SALAD WITH ONION,ZWIEBEL GEWÜRZT SALAT,МЯСНОЙ САЛАТ С ЛУКОМ,0,0,0,0
1826,MİDYE SALATASI,MUSSEL SALAD,MUSCHEL-SALAT,САЛАТ ИЗ МИДИЙ,0,0,0,0
1827,BİBER SALATASI,PEPPER SALAD,PAPRIKA-SALAT,САЛАТ ИЗ ПЕРЦА,0,0,0,0
1828,PATLICAN MANÇİ,EGGPLANT MANCI,AUBERGINEN MANCI,БАКЛАЖАННОЕ БЛЮДО,0,0,0,0
1829,KÖRİLİ ELMALI TAVUK SALATA,CHICKEN SALAD WITH CURRY AND APPLE,HÄHNCHEN-SALAT MIT CURRY UND APFEL,САЛАТ ИЗ КУРИЦЫ С  ЯБЛОКОМ И КАРРИ,0,0,0,0
1830,BABY MISIR SALATA,BABY CORN SALAD,BABY-MAIS-SALAT,САЛАТ ИЗ  КУКУРУЗЫ,0,0,0,0
1831,MÜTEBBEL,EGGPLANT WITH YOGURT AND SESAME,AUBERGINEN MIT JOGHURT UND SESAM,БАКЛАЖАНЫ С ЙОГУРТОМ И КУНЖУТОМ,0,0,0,0
1832,ZEYTİNYAĞLI BRÜKSEL LAHANASI,BRUSSELS SPROUTS WITH OLIVE OIL,ROSENKOHL MIT OLIVENÖL,БРЮССЕЛЬСКАЯ КАПУСТА С ОЛИВКОВЫМ МАСЛОМ,0,0,0,0
1833,ZEYTİNYAĞLI BALIK PİLAKİ,FISH WITH OLIVE OIL,FISCH MIT OLIVEN-ÖL,БЛЮДО ИЗ РЫБЫ С ОЛИВКОВЫМ МАСЛОМ,0,0,0,0
1834,BAHARATLI TAVUK KANAT,SPICY CHICKEN WINGS ,HÜHNCHENFLÜGEL  GEWÜRZT,КУРИНЫЕ КРЫЛЫШКИ СО СПЕЦИЯМИ,0,0,0,0
1835,YILAN BALIK FÜME,SMOKED EELS,GERÄUCHERTER AAL,КОПЧЕНЫЙ УГОРЬ,0,0,0,0
1836,SİYAH BARBUNYA SALATASI,BLACK KIDNEY BEAN SALAD,SCHWARZE KIDNEY-BOHNENSALAT,САЛАТ ИЗ ЧЕРНОЙ ФАСОЛИ,0,0,0,0
1837,PEYNİR SALATASI,CHEESE SALAD,KÄSE-SALAT,САЛАТ ИЗ СЫРА,0,0,0,0
1838,BAHARATLI HİNDİ GÖĞSÜ,TURKEY BREAST WITH SPICES,GEWÜRZTE TRUTHAHNBRUST,ГРУДКА ИНДЕЙКИ СО СПЕЦИЯМИ,0,0,0,0
1839,SOMON BELVÜ,SALMON BELLEVUE ,LACHSE BELLEVUE,СЕМГА,0,0,0,0
1840,PİYAZ,WHITE BEANS SALAD With ONIONS,"BOHNENSALAT ""PIYAZ""",БЕЛАЯ ФАСОЛЬ С ЛУКОМ И ЗЕЛЕНЬЮ,0,0,0,0
1841,DEREOTLU BALIK SALATASI,FISH SALAD WITH DILL,FISCH-SALAT MIT DILL,РЫБНЫЙ САЛАТ С УКРОПОМ,0,0,0,0
1842,ALİ NAZİK,AUBERGINES WITH MINCED MEAT AND YOGURT,AUBERGINEN MIT HACKFLEISCH UND JOGHURT,БАКЛАЖАНЫ С МЯСОМ И ЙОГУРТОМ,0,0,0,0
1843,ZEYTİNYAĞLI ARPACIK SOĞAN,SHALLOT WITH OLIVE OIL,SCHALOTTEN MIT OLIVENÖL,ЛУК-ШАЛОТ С ОЛИВКОВЫМ МАСЛОМ,0,0,0,0
1844,JEERA PİLAVI,JEERA RICE,JEERA REIS,РИС,0,0,0,0
1845,BİRYANİ SEBZE,VEGETABLE BIRYANI,GEMÜSE BIRYANI,ОВОЩНОЕ БЛЮДО,0,0,0,0
1846,KUZU KEBABI,LAMB KEBAB,LAMM-KEBAB,КЕБАБ ИЗ ЯГНЕНКА ,0,0,0,0
1847,MANGO CHUTNEY,MANGO CHUTNEY,MANGO-CHUTNEY, БЛЮДО ИЗ МАНГО,0,0,0,0
1848,KARİDES ÇORBASI- Hindistan cevizi & sütlü,SHRIMP SOUP-Coconut & Milky,GARNELEN Suppe Kokos und Milch,СУП ИЗ КРЕВЕТОК С КОКОСОМ И МОЛОКОМ,0,0,0,0
1849,BAHARATLI TAVUK ÇORBA,SPICY CHICKEN SOUP,WÜRZIGE HÜHNERSUPPE,ПРЯНЫЙ КУРИНЫЙ СУП,0,0,0,0
1850,KARIŞIK BAHARATLAR,MIXED SPICES,GEMISCHTE GEWÜRZE,СМЕШАННЫЕ СПЕЦИИ,0,0,0,0
1851,İNDİA SOSLU DANA,INDIA SAUCE BEEF,INDIEN SAUCE RINDFLEISCH,ТЕЛЯТИНА В СОУСЕ ПО-ИНДИЙСКИ,0,0,0,0
1852, ZERDEÇALLI YER ELMASI ,ARTICHOKE WITH TURMERIC,ARTISCHOCKE MIT KURKUMA,АРТИШОК С КУРКУМЫ,0,0,0,0
1853,KIYMALI SAMSA BÖREĞİ,SAMASA WITH MINCED MEAT,SAMASA MIT HACKFLEISCH,САМСА-БЕРЕК С МЯСНЫМ ФАРШЕМ,0,0,0,0
1854,TAVUK TANDIR,CHICKEN TANDOORI,CHICKEN TANDOORI,КУРИЦА В ТАНДЫРЕ,0,0,0,0
1855,TANDOORİ SOSU,TANDOORI SAUCE,TANDOORI-SAUCE,ТАНДУРИ СОУС,0,0,0,0
1856,KUZU SATAY,LAMB WITH SATAY SAUCE,LAMM MIT SATAY-SAUCE,ЯГНЕНОК,0,0,0,0
1857,TAVUK VINDALOO,CHICKEN VINDALOO,CHICKEN VINDALOO,КУРИЦА VINDALOO,0,0,0,0
1858,MOONG TORAN,MOONG TORAN,MOONG TORAN,MOONG TORAN,0,0,0,0
1859,TEMPURA SOSLU SEBZELER,THE TEMPURA SAUCE VEGETABLES,DAS TEMPURA-GEMÜSE-SAUCE,ОВОЩИ В СОУСЕ ТЕМПУРА,0,0,0,0
1860,İNDO NOODLE,INDO NOODLE,INDO-NUDEL,ИНДО НОДЛ,0,0,0,0
1861,HİNT SOSLU STİCK RİCE,STICK RICE WITH INDIAN SAUCE,STICK-REIS MIT INDISCHER SOßE,РИС В ИНДИЙСКОМ СОУСЕ,0,0,0,0
1862,SEBZELİ VE KÖRİLİ LAZANYA,LASAGNA WITH VEGETABLES AND CURRY,LASAGNE MIT GEMÜSE UND CURRY,ЛАЗАНЬЯ С ОВОЩАМИ И КАРРИ,0,0,0,0
1863,MASALA SOS,MASALA SAUCE,MASALA-SAUCE,СОУС МАСАЛА,0,0,0,0
1864,TATLI EKŞİ SOSLU BALIK,FISH With SWEET-SOUR SAUCE,FISCH MIT SÜSS-SAURER SAUCE,РЫБА С КИСЛО-СЛАДКИМ СОУСОМ,0,0,0,0
1865,KIZARMIŞ LAHANA,FRIED CABBAGE,GEBRATENER KOHL,ЖАРЕНАЯ КАПУСТА,0,0,0,0
1866,KARNABAHAR CURRY,CAULIFLOWER CURRY,BLUMENKOHLCURRY,КАРРИ ИЗ ЦВЕТНОЙ КАПУСТЫ,0,0,0,0
1867,BALIK TANDIR,FISH TANDOORI,FISCH TANDOORI,РЫБА В ТАНДЫРЕ,0,0,0,0
1868,CURRY PRAWN- Karidesli,CURRY PRAWN-Shrimp,CURRY GARNELEN-Garnelen,КРЕВЕТКИ С КАРРИ,0,0,0,0
1869,DOMATESLİ ISPANAK,SPINACH WITH TOMATO,SPINAT MIT TOMATEN,ШПИНАТ С ПОМИДОРАМИ,0,0,0,0
1870,HAŞLANMIŞ YEŞİL MERCİMEK,BOILED GREEN LENTILS,GEKOCHTE GRÜNE LINSEN,ВАРЕНАЯ ЧЕЧЕВИЦА ЗЕЛЕНАЯ,0,0,0,0
1871,TUZDA PATATES,THE SALT POTATO,DIE SALZ-KARTOFFEL,"КАРТОФЕЛЬ,ЗАПЕЧЕННАЯ В СОЛИ",0,0,0,0
1872,KALAMAR SOTE,SQUID WITH VEGETABLES,KALAMARIES MIT GEMÜSE,РАГУ ИЗ КАЛЬМАРОВ,0,0,0,0
1873,NAAN EKMEK,NAAN BREAD,NAAN BROT, ХЛЕБ-НАН,0,0,0,0
1874,TAVUK TIKKA,CHICKEN TIKKA,CHICKEN TIKKA,КУРИНЫЙ ТИККА,0,0,0,0
1875,CHAPATİ EKMEK,CHAPATI BREAD,CHAPATI-BROT,ХЛЕБ ЧАПАТИ,0,0,0,0
1876,RAİTA SOS,RAITA SAUCE,RAITA-SAUCE,СОУС РАЙТА,0,0,0,0
1877,DOMATES CHUTNEY,TOMATO CHUTNEY,TOMATEN-CHUTNEY,ТОМАТНЫЙ ЧАТНИ,0,0,0,0
1878,KAKULE SOSLU KUZU YAHNİ,LAMB STEW CARDAMOM SAUCE,LAMM-EINTOPF-KARDAMOM-SAUCE,ТУШЕНЫЙ ЯГНЕНОК В СОУСЕ С КАРДАМОНОМ,0,0,0,0
1879,KÖRİ SOSLU DENİZ ÜRÜNLERİ YAHNİ,SEAFOOD STEW CURRY SAUCE,MEERESFRÜCHTE-EINTOPF-CURRY-SAUCE,ТУШЕНЫЕ МОРЕПРОДУКТЫ С СОУСОМ КАРРИ,0,0,0,0
1880,RAAN KUZU BUT,RAAN LAMB LEG,RAAN LAMM BEIN,НОЖКА ЯГНЕНКА,0,0,0,0
1881,CALZONE- İTALYAN PİDESİ,CALZONE,CALZONE,ПИЦЦА ИТАЛЬЯНСКАЯ-КАЛЬЦОНЕ,0,0,0,0
1882,POLENTA PROVANSAL,POLENTA PROVANSAL,POLENTA-PROVANSAL,ПОЛЕНТА ПРОВАНСАЛЬ,0,0,0,0
1883,BAHARATLI PARİZYEN PATATES,SPICY PARISIAN POTATOES,"WÜRZIG, PARISER KARTOFFELN",КАРТОФЕЛЬ ПАРИЗЬЕН С ПРЯНОСТЯМИ,0,0,0,0
1884,MANTAR SOS,MUSHROOM SAUCE,PILZSAUCE,ГРИБНОЙ СОУС,0,0,0,0
1885,VENEDİK USULU ROKALI KUM MİDYE,VENICE STYLE SAND MUSSEL WITH ARUGULA,VENEDIG STIL SAND MUSCHEL MIT RUCOLA,МИДИИ С РУККОЛОЙ ПО ВЕНЕЦИАНСКИ,0,0,0,0
1886,BAHARAT KÖŞESİ,SPICE CORNER,GEWÜRZ-ECKE,УГОЛОК СО СПЕЦИЯМИ,0,0,0,0
1887,POLLO ALLA LIMONE-Limonlu Tavuk,POLLO ALLA LIMONE- Lemon Chicken,POLLO ALLA LIMONE-Lemon Chicken,КУРИЦА С ЛИМОНОМ,0,0,0,0
1888,RİSOTTO SAFRANLI,RISOTTO WITH SAFFRON,RISOTTO MIT SAFRAN,РИЗОТТО С ШАФРАНОМ,0,0,0,0
1889,RATATOUILLE,RATATOUILLE,RATATOUILLE,РАТАТУЙ,0,0,0,0
1890,DANA PİCATA KONKASE SOSLU,VEAL PICATA WITH KONKASE SAUCE,KALBS PICATA MIT KONKASE-SAUCE,ПИКАТА ИЗ ТЕЛЯТИНЫ С СОУСОМ КОНКАСЕ,0,0,0,0
1891,DOMATES KONKASE,TOMATO KONKASE,TOMATEN-KONKASE,БЛЮДО С ПОМИДОРАМИ,0,0,0,0
1892,ADAÇAYLI TAVUK ŞİŞ,CHICKEN SKEWERS WITH SAGE,HÄHNCHEN-SPIEßE MIT SALBEI,КУРИНЫЙ ШАШЛЫК С ШАЛФЕЕМ,0,0,0,0
1893,ADAÇAYI SOSU,SAGE SAUCE,SALBEI-SAUCE,КУРИЦА НА ШАМПУРЕ С ШАЛФЕЕМ,0,0,0,0
1894,ITALYAN USULÜ DANA İNCİK- OSSO BUCCO,OSSO BUCCO,OSSO BUCO,ОССО БУКО,0,0,0,0
1895,ROZMARİNLİ KABAK,PUMPKIN ROSEMARIN,KÜRBIS ROSEMARIN,ЦУККИНИ С РОЗМАРИНОМ,0,0,0,0
1896,MANTARLI PAPARDELLE,PAPARDELLE WITH MUSHROOMS,PAPARDELLE MIT PILZEN,ПАПАРДЕЛЛЕ С ГРИБАМИ,0,0,0,0
1897,KREM SOSLU TORTELLİNİ,TORTELLINI WITH CREAM SAUCE,TORTELLINI MIT RAHMSAUCE,ТОРТЕЛЛИНИ СО СЛИВОЧНЫМ СОУСОМ,0,0,0,0
1898,BOLONEZ SOSLU LAZANYA,LASAGNE WITH BOLOGNESE SAUCE,LASAGNE MIT BOLOGNESESAUCE,ЛАЗАНЬЯ С СОУСОМ БОЛОНЬЕЗЕ,0,0,0,0
1899,KUZU KOL SARMA ISPANAKLI,STUFFED LEG OF LAMB WITH SPINACH,GEFULLTE LAMMROLLEN MIT SPINAT,РОЛЛЫ ИЗ ЯГНЕНКА СО ШПИНАТОМ,0,0,0,0
1900,ENGİNAR SOS,ARTICHOKE SAUCE,ARTISCHOCKEN-SAUCE,СОУС ИЗ КАБАЧКОВ,0,0,0,0
1901,PATLICAN LAZANYA,EGGPLANT LASAGNA,AUBERGINEN LASAGNE,ЛАЗАНЬЯ ИЗ БАКЛАЖАНОВ,0,0,0,0
1902,ORKİNOS FİLETTO,TUNA FILLET,THUNFISCH FILET,ФИЛЕ ТУНЦА,0,0,0,0
1903,CENEVİZ USULÜ KILIÇ BALIĞI,GENOVESE-STYLE SWORDFISH,GENOVESE STIL SCHWERTFISCH,РЫБА-МЕЧЬ ПО-ВЕНЕЦИАНСКИ,0,0,0,0
1904,MANTAR SOSLU BALIK,FISH WITH MUSHROOM SAUCE,FISCH MIT PILZSAUCE,РЫБА С ГРИБНЫМ СОУСОМ,0,0,0,0
1905,TON BALIKLI DOMATES DOLMASI,STUFFED TOMATO WITH TUNAFISH,GEFÜLLTE TOMATEN MIT THUNFISCH,ФАРШИРОВАННЫЙ ПОМИДОР С ТУНЦОМ,0,0,0,0
1906,SEMİZ OTU,PURSLANE WITH PLAITED CHEESE,PORTULAK MIT GEFLOCHTENEM KÄSE,СЫР ЧЕЧИЛ С ПОРТУЛАКОМ,0,0,0,0
1907,ISPANAKLI YUMURTA,EGGS with SPINACH,SPINAT MIT EIER,ЯИЧНИЦА СО ШПИНАТОМ,0,0,0,0
1908,DOMATESLİ ROZMARIN SOS,ROSEMARY SAUCE WITH TOMATO,ROSMARIN SAUCE MIT TOMATEN,РОЗМАРИНОВЫЙ СОУС С ПОМИДОРАМИ,0,0,0,0
1909,TOPCU SOĞAN- Baharatlı Soğan,SPICY ONIONS,WÜRZIGE ZWIEBELN,ПРЯНЫЙ ЛУК,0,0,0,0
1910,KEKİKLİ DOMATES SOS,TOMATO SAUCE WITH THYME,TOMATENSOßE MIT THYMIAN,ТОМАТНЫЙ СОУС С ТИМЬЯНОМ,0,0,0,0
1911,SADE PATLICAN BEĞENDİ,AUBERGINE PUREE KEBAB,AUBERGINE PÜREE KEBAB,КЕБАБ С БАКЛАЖАНHЫМ ПЮРЕ,0,0,0,0
1912,SAÇ KAVURMA,DICED LAMB FRIED ON IRON PLATE,GEWÜRFELTE LAMM FRIED AUF EISENPLATTE,ЖАРЕНЫЕ КУСОЧКИ БАРАНИНЫ,0,0,0,0
1913,SARDALYE TAVA,FRIED SARDINES,GEBRATENE SARDINEN,ЖАРЕНЫЕ САРДИНЫ,0,0,0,0
1914,REMOULADE SOS,SAUCE REMOULADE,SOβE REMOULADE,СОУС РЕМУЛАД,0,0,0,0
1915,PATATES PROVENSAL,POTATO PROVENSAL,KARTOFFEL-PROVENCE,КАРТОФЕЛЬ ПРОВАНСАЛЬ,0,0,0,0
1916,DOMATESLİ BAMYA,OKRA WITH TOMATO,OKRA MIT TOMATEN,БАМЬЯ С ПОМИДОРАМИ,0,0,0,0
1917,KÖRİLİ KABAK,ZUCCHINI WITH CURRY,ZUCCHINI MIT CURRY,ЦУККИНИ С КАРРИ,0,0,0,0
1918,TULUM PEYNİRLİ TAVUK SARMA,FILLED CHICKEN WITH SHARP GOATS CHEESE,GEFÜLLTES HUHN MIT SCHARFEN ZIEGEN-KÄSE,КУРИНЫЕ РОЛЛЫ С СЫРОМ,0,0,0,0
1919,AVOKADO VE KURU MEYVELİ PİLAV,RICE WITH AVOCADO AND DRIED FRUIT,REIS MIT AVOCADO UND GETROCKNETEN FRÜCHTEN,ПЛОВ С СУХОФРУКТАМИ И АВОКАДО,0,0,0,0
1920,BADEMLİ KABAK,ZUCCHINI WITH ALMOND,ZUCCHINI MIT MANDELN,ЦУККИНИ С МИНДАЛЕМ,0,0,0,0
1921,MEYVA SOS,FRUIT SAUCE,FRUCHTSAUCE,ФРУКТОВЫЙ СОУС,0,0,0,0
1922,SARIMSAKLI BADEM ÇORBASI,ALMOND SOUP WITH GARLIC,MANDEL-SUPPE MIT KNOBLAUCH,МИНДАЛЬНЫЙ СУП С ЧЕСНОКОМ,0,0,0,0
1923,BALKABAĞI ÇORBASI,PUMPKIN SOUP,KÜRBISSUPPE,ТЫКВЕННЫЙ СУП,0,0,0,0
1924,BALIK RAGU,FISH RAGU,FISCH RAGU,РЫБНОЕ РАГУ,0,0,0,0
1925,KARİDESLİ YEŞİL KÖRİ HAMURU,SHRIMP GREEN CURRY PASTE,KRABBENPASTE MIT GRÜNEM CURRY,ПИРОГ С КРЕВЕТКАМИ И ЗЕЛЕНЫМ КАРРИ,0,0,0,0
1926,KÖRİ SOS ,CURRY SAUCE,CURRY-SAUCE,СОУС КАРРИ,0,0,0,0
1927,MEYVE ŞİŞ,FRUIT SKEWER,OBST-SPIEß,ФРУКТЫ НА ШАМПУРЕ,0,0,0,0
1928,KREMALI ISPANAK ELMALI,CREAMED SPINACH WITH APPLE,RAHMSPINAT MIT APFEL,ШПИНАТ С ЯБЛОКОМ И СЛИВКАМИ,0,0,0,0
1929,TAVUKLU MERCİMEK ,CHICKEN WITH LENTIL ,HUHN-LINSE-CHUTNEY,ЧЕЧЕВИЦА С КУРИЦЕЙ,0,0,0,0
1930,KIZARMIŞ SOĞAN HALKA,FRIED ONION RINGS,GEBRATENE ZWIEBELRINGE,ЖАРЕНЫЕ ЛУКОВЫЕ КОЛЬЦА,0,0,0,0
1931,KURU MEYVELİ BURGU MAKARNA,SPIRAL PASTA WITH DRIED FRUITS,SPIRAL-NUDELN MIT GETROCKNETEN FRÜCHTEN,МАКАРОНЫ С СУХОФРУКТАМИ,0,0,0,0
1932,SARIMSAKLI KARİDESLİ PENNE,PENNE WITH SHRIMP AND GARLIC,PENNE MIT GARNELEN UND KNOBLAUCH,ПЕННЕ С КРЕВЕТКАМИ И ЧЕСНОКОМ,0,0,0,0
1933,LAZANYA BOLOGNES,LASAGNA BOLOGNES,LASAGNE BOLOGNES,ЛАЗАНЬЯ ПО БОЛОНЕЗСКИ,0,0,0,0
1934,BÜTÜN DANA BUT,ALL VEAL RUMP,ALLE KALBFLEISCH RUMP,ТЕЛЯЧЬЯ НОЖКИ,0,0,0,0
1935,TANE KARABİBER SOS,PEPPERCORN SAUCE,PFEFFER-SAUCE,ПЕРЕЧНЫЙ СОУС,0,0,0,0
1936,KIRMIZI BİBER DOLMA,STUFFED REDPEPPER,GEFÜLLTE PAPRIKA,ФАРШИРОВАННЫЙ КРАСНЫЙ ПЕРЕЦ,0,0,0,0
1937,POŞE BALIK FİLETO,FISH FILLET,FISCH-FILETO,РЫБНЫЙ ФИЛЕ,0,0,0,0
1938,HARDALLI DEREOTU SOS,DILL SAUCE WITH MUSTARD,DILLSAUCE MIT SENF,СОУС С ГОРЧИЦЕЙ И УКРОПОМ,0,0,0,0
1939,ANANASLI PATATES GRATEN,POTATO GRATIN WITH PINEAPPLE,KARTOFFEL-GRATIN MIT ANANAS,КАРТОФЕЛЬНЫЙ ГРАТЕН С АНАНАСОМ,0,0,0,0
1940,PATLICAN BEĞENDİ,AUBERGINE PUREE KEBAB,AUBERGINE PÜREE KEBAB,КЕБАБ С БАКЛАЖАНHЫМ ПЮРЕ,0,0,0,0
1941,DANA DİL ROSTO,VEAL TONGUE ROAST,ZUNGE KALBSBRATEN,РОСТО ИЗ ТЕЛЯЧЬЕГО ЯЗЫКА,0,0,0,0
1942,GNOCETTI ŞAM FISTIKLI,GNOCETTI WITH PISTACHIO,GNOCETTI MIT PISTAZIEN,БЛЮДО С КЕДРОВЫМИ ОРЕШКАМИ,0,0,0,0
1943,TAVUK LA CARRETA,CHICKEN LA CARRETA,HUHN LA CARRETA,КУРИЦА LA CARRETA,0,0,0,0
1944,TON BALIKLI PATATES SALATASI,POTATO SALAD WITH TUNA FISH,KARTOFFELSALAT MIT THUNFISCH,КАРТОФЕЛЬНЫЙ САЛАТ С ТУНЦОМ,0,0,0,0
1945,KABUKLU DENİZ ÜRÜNLERİ RAGOUT SAFRANLI,SHELLFISH RAGOUT WITH SAFFRON,MEERESFRÜCHTE-RAGOUT MIT SAFRAN,РАГУ ИЗ МОЛЛЮСКОВ С ШАФРАНОМ,0,0,0,0
